Sale_ID,Sale_Date,Customer_ID,Customer_Name,Region,Product_ID,Product_Name,Category,Quantity,Unit_Price,Channel,Total_Revenue,Cost
S000001,2023-11-07,06d97dd1,George Garcia,Oeste,P00001,Player,Móveis,6,136.38,Site,818.28,544.45
S000002,2024-12-27,f7b27fdb,Michael Harris,Leste,P00002,Military,Móveis,13,192.28,App,2499.64,2170.85
S000003,2023-01-29,0704372f,Jeffrey Phillips,Oeste,P00003,One,Alimentos,13,43.26,App,562.38,468.76
S000004,2024-09-14,a98dbee5,Dustin Lynch,Sul,P00004,Measure,Móveis,7,346.78,App,2427.46,1632.73
S000005,2024-06-14,ddd97f43,Allison Hernandez,Oeste,P00005,These,Móveis,3,76.23,Loja Física,228.69,149.78
S000006,2024-08-23,8a0adb94,Thomas Spence,Leste,P00006,Perhaps,Vestuário,2,567.04,App,1134.08,1005.94
S000007,2024-11-26,661b28fd,Peter Berger,Norte,P00007,Top,Esporte,17,749.99,Site,12749.83,10230.99
S000008,2023-08-26,d06f2852,James Morris,Leste,P00008,Measure,Móveis,12,642.65,Loja Física,7711.8,5020.88
S000009,2023-09-23,f4f73f81,Monique Austin,Sul,P00009,Choose,Móveis,2,871.81,App,1743.62,1209.0
S000010,2023-10-04,4a2e1d4d,Haley Arroyo,Sul,P00010,Attention,Eletrônicos,9,329.55,App,2965.95,1884.08
S000011,2023-11-14,a676a60b,Michelle Hobbs,Oeste,P00011,Various,Vestuário,16,169.3,Loja Física,2708.8,1878.29
S000012,2023-03-31,ea4e3536,Kenneth Price,Norte,P00012,Attack,Eletrônicos,18,507.28,Loja Física,9131.04,7682.06
S000013,2023-09-10,60ce4fde,Travis Oneill,Norte,P00013,Figure,Eletrônicos,6,701.32,Loja Física,4207.92,3497.82
S000014,2024-08-21,b20bb206,Melissa Smith,Leste,P00014,Partner,Eletrônicos,12,817.09,Site,9805.08,7214.69
S000015,2023-06-28,ed712097,Thomas Rush,Norte,P00015,House,Alimentos,13,329.47,Site,4283.11,3756.74
S000016,2024-01-08,7b6b3bf7,Bryan Schroeder,Norte,P00016,Poor,Esporte,3,446.75,Loja Física,1340.25,868.99
